node	form	verb_kind
739916	ʾəθyɛle	qtilele
740004	qimɛle	qtilele
740019	siqɛle	qtilele
740182	zilɛle	qtilele
740250	qimɛle	qtilele
740252	siqɛle	qtilele
740273	qimɛle	qtilele
740281	ṣəlyɛle	qtilele
740282	ṣəlyɛle	qtilele
740283	pišɛle	qtilele
740301	tiwɛle	qtilele
740436	qimɛle	qtilele
740444	ʾəθyɛle	qtilele
740516	ṣəlyɛle	qtilele
740526	siqɛle	qtilele
740528	wirɛle	qtilele
740562	pliṭṭɛla	qtilele
740621	riqɛle	qtilele
740622	pliṭɛle	qtilele
740627	zilɛle	qtilele
740688	zilɛle	qtilele
740747	pištɛla	qtilele
740836	ʾəθyɛle	qtilele
740927	pliṭɛle	qtilele
740946	siqɛle	qtilele
740949	ʾəθyɛle	qtilele
740963	ṣəlyɛle	qtilele
741119	pliṭṭɛla	qtilele
741202	pliṭɛle	qtilele
741203	ʾəθyɛle	qtilele
741205	pliṭɛle	qtilele
741213	ʾəθyɛle	qtilele
741214	ʾəθyɛle	qtilele
741237	pliṭṭɛla	qtilele
741246	pliṭṭɛla	qtilele
741262	tiwtɛla	qtilele
741333	ʾəθyɛle	qtilele
741449	siqɛle	qtilele
741453	pišɛle	qtilele
741589	qimɛle	qtilele
741608	qimɛle	qtilele
741611	diṛɛle	qtilele
741676	qimɛle	qtilele
741813	θiθɛla	qtilele
741815	θiθɛla	qtilele
741918	siqtɛla	qtilele
742043	ziltɛla	qtilele
742083	ṣliθɛla	qtilele
742098	siqtɛla	qtilele
742294	ʾəθyɛle	qtilele
742324	zilɛle	qtilele
742328	zilɛle	qtilele
742395	zilɛle	qtilele
742417	pištɛla	qtilele
742462	diṛɛle	qtilele
742485	ṣliθɛla	qtilele
742486	siqtɛla	qtilele
742498	ṣəlyɛle	qtilele
742575	siqɛle	qtilele
742681	qimɛle	qtilele
742682	ṣəlyɛle	qtilele
742690	pištɛla	qtilele
742882	qimɛle	qtilele
742908	ṣliθɛla	qtilele
742911	wirtɛla	qtilele
742967	qimɛle	qtilele
742977	wirtɛla	qtilele
742983	wirtɛla	qtilele
743020	qimɛle	qtilele
743040	ʾəθyɛle	qtilele
743145	siqɛle	qtilele
743148	wirɛle	qtilele
743595	qimɛle	qtilele
743602	məṭyɛle	qtilele
743648	šqilɛle	qtilele
743671	qimɛle	qtilele
743672	siqɛle	qtilele
743673	wirɛle	qtilele
743702	ṣliθɛla	qtilele
743706	ṣliθɛla	qtilele
743776	siqɛle	qtilele
743858	qimtɛla	qtilele
743859	ziltɛla	qtilele
744090	npilɛle	qtilele
744091	qimɛle	qtilele
744125	pliṭɛle	qtilele
744284	ʾəθyɛle	qtilele
744295	pišɛle	qtilele
744337	qimɛle	qtilele
744632	ṣliθɛla	qtilele
745150	zilɛle	qtilele
745195	qimɛle	qtilele
745951	qimɛle	qtilele
746107	qimɛle	qtilele
746116	tiwɛle	qtilele
746142	zilɛle	qtilele
746146	ṣəlyɛle	qtilele
746151	ṣəlyɛle	qtilele
746327	qimɛle	qtilele
746596	qimɛle	qtilele
746617	qimɛle	qtilele
746670	zilɛle	qtilele
746776	qimɛle	qtilele
747042	qimtɛla	qtilele
747096	ṣəlyɛle	qtilele
747200	qimɛle	qtilele
747292	qimɛle	qtilele
747307	qimtɛla	qtilele
747316	qimtɛla	qtilele
747330	ziltɛla	qtilele
747357	ziltɛla	qtilele
747598	pliṭṭɛla	qtilele
748149	pliṭɛle	qtilele
748387	pišɛle	qtilele
748409	qimɛle	qtilele
748530	wirɛle	qtilele
748729	šqiltɛla	qtilele
748731	ṣliθɛla	qtilele
748860	siqɛle	qtilele
748886	qimɛle	qtilele
748942	qimtɛla	qtilele
749045	ʾəθyɛle	qtilele
